!SOT
4010a4!mov eax, dword ptr [ebp-0xc]!RM_12ff48_4_e5ded05!RR_ebp_12ff54!WR_eax_e5ded05
4010a7!shl eax, 0x4!RR_eax_e5ded05!WR_eax_e5ded050
4010aa!add eax, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee1!RR_eax_e5ded050_ebp_12ff54!WR_eax_c48c8f31
4010ad!mov ecx, dword ptr [ebp-0xc]!RM_12ff48_4_e5ded05!RR_ebp_12ff54!WR_ecx_e5ded05
4010b0!add ecx, dword ptr [ebp-0x10]!RM_12ff44_4_4e11503c!RR_ecx_e5ded05_ebp_12ff54!WR_ecx_5c6f3d41
4010b3!xor eax, ecx!RR_eax_c48c8f31_ecx_5c6f3d41!WR_eax_98e3b270
4010b5!mov edx, dword ptr [ebp-0xc]!RM_12ff48_4_e5ded05!RR_ebp_12ff54!WR_edx_e5ded05
4010b8!shr edx, 0x5!RR_edx_e5ded05!WR_edx_72ef68
4010bb!add edx, dword ptr [ebp-0x20]!RM_12ff34_4_deadbee2!RR_edx_72ef68_ebp_12ff54!WR_edx_df20ae4a
4010be!xor eax, edx!RR_eax_98e3b270_edx_df20ae4a!WR_eax_47c31c3a
4010c0!mov ecx, dword ptr [ebp-0x24]!RM_12ff30_4_abb1d00d!RR_ebp_12ff54!WR_ecx_abb1d00d
4010c3!sub ecx, eax!RR_eax_47c31c3a_ecx_abb1d00d!WR_ecx_63eeb3d3
4010c5!mov dword ptr [ebp-0x24], ecx!RR_ecx_63eeb3d3_ebp_12ff54!WM_12ff30_4_63eeb3d3
4010c8!mov edx, dword ptr [ebp-0x10]!RM_12ff44_4_4e11503c!RR_ebp_12ff54!WR_edx_4e11503c
4010cb!sub edx, dword ptr [ebp-0x1c]!RM_12ff38_4_9e3779b9!RR_edx_4e11503c_ebp_12ff54!WR_edx_afd9d683
4010ce!mov dword ptr [ebp-0x10], edx!RR_edx_afd9d683_ebp_12ff54!WM_12ff44_4_afd9d683
4010d1!jmp 0x401071
401071!mov eax, dword ptr [ebp-0x4]!RM_12ff50_4_4!RR_ebp_12ff54!WR_eax_4
401074!add eax, 0x1!RR_eax_4!WR_eax_5
401077!mov dword ptr [ebp-0x4], eax!RR_eax_5_ebp_12ff54!WM_12ff50_4_5
40107a!cmp dword ptr [ebp-0x4], 0x20!RM_12ff50_4_5!RR_ebp_12ff54
40107e!jnb 0x4010d3
401080!mov ecx, dword ptr [ebp-0x24]!RM_12ff30_4_63eeb3d3!RR_ebp_12ff54!WR_ecx_63eeb3d3
401083!shl ecx, 0x4!RR_ecx_63eeb3d3!WR_ecx_3eeb3d30
401086!add ecx, dword ptr [ebp-0x18]!RM_12ff3c_4_deadbee3!RR_ecx_3eeb3d30_ebp_12ff54!WR_ecx_1d98fc13
401089!mov edx, dword ptr [ebp-0x24]!RM_12ff30_4_63eeb3d3!RR_ebp_12ff54!WR_edx_63eeb3d3
40108c!add edx, dword ptr [ebp-0x10]!RM_12ff44_4_afd9d683!RR_edx_63eeb3d3_ebp_12ff54!WR_edx_13c88a56
40108f!xor ecx, edx!RR_ecx_1d98fc13_edx_13c88a56!WR_ecx_e507645
401091!mov eax, dword ptr [ebp-0x24]!RM_12ff30_4_63eeb3d3!RR_ebp_12ff54!WR_eax_63eeb3d3
401094!shr eax, 0x5!RR_eax_63eeb3d3!WR_eax_31f759e
401097!add eax, dword ptr [ebp-0x14]!RM_12ff40_4_deadbee4!RR_eax_31f759e_ebp_12ff54!WR_eax_e1cd3482
40109a!xor ecx, eax!RR_eax_e1cd3482_ecx_e507645!WR_ecx_ef9d42c7
40109c!mov edx, dword ptr [ebp-0xc]!RM_12ff48_4_e5ded05!RR_ebp_12ff54!WR_edx_e5ded05
40109f!sub edx, ecx!RR_ecx_ef9d42c7_edx_e5ded05!WR_edx_1ec0aa3e
4010a1!mov dword ptr [ebp-0xc], edx!RR_edx_1ec0aa3e_ebp_12ff54!WM_12ff48_4_1ec0aa3e
4010a4!mov eax, dword ptr [ebp-0xc]!RM_12ff48_4_1ec0aa3e!RR_ebp_12ff54!WR_eax_1ec0aa3e
4010a7!shl eax, 0x4!RR_eax_1ec0aa3e!WR_eax_ec0aa3e0
4010aa!add eax, dword ptr [ebp-0x8]!RM_12ff4c_4_deadbee1!RR_eax_ec0aa3e0_ebp_12ff54!WR_eax_cab862c1
4010ad!mov ecx, dword ptr [ebp-0xc]!RM_12ff48_4_1ec0aa3e!RR_ebp_12ff54!WR_ecx_1ec0aa3e
4010b0!add ecx, dword ptr [ebp-0x10]!RM_12ff44_4_afd9d683!RR_ecx_1ec0aa3e_ebp_12ff54!WR_ecx_ce9a80c1
4010b3!xor eax, ecx!RR_eax_cab862c1_ecx_ce9a80c1!WR_eax_422e200
4010b5!mov edx, dword ptr [ebp-0xc]!RM_12ff48_4_1ec0aa3e!RR_ebp_12ff54!WR_edx_1ec0aa3e
4010b8!shr edx, 0x5!RR_edx_1ec0aa3e!WR_edx_f60551
4010bb!add edx, dword ptr [ebp-0x20]!RM_12ff34_4_deadbee2!RR_edx_f60551_ebp_12ff54!WR_edx_dfa3c433
4010be!xor eax, edx!RR_eax_422e200_edx_dfa3c433!WR_eax_db812633
4010c0!mov ecx, dword ptr [ebp-0x24]!RM_12ff30_4_63eeb3d3!RR_ebp_12ff54!WR_ecx_63eeb3d3
4010c3!sub ecx, eax!RR_eax_db812633_ecx_63eeb3d3!WR_ecx_886d8da0
4010c5!mov dword ptr [ebp-0x24], ecx!RR_ecx_886d8da0_ebp_12ff54!WM_12ff30_4_886d8da0
4010c8!mov edx, dword ptr [ebp-0x10]!RM_12ff44_4_afd9d683!RR_ebp_12ff54!WR_edx_afd9d683
4010cb!sub edx, dword ptr [ebp-0x1c]!RM_12ff38_4_9e3779b9!RR_edx_afd9d683_ebp_12ff54!WR_edx_11a25cca
4010ce!mov dword ptr [ebp-0x10], edx!RR_edx_11a25cca_ebp_12ff54!WM_12ff44_4_11a25cca
4010d1!jmp 0x401071
401071!mov eax, dword ptr [ebp-0x4]!RM_12ff50_4_5!RR_ebp_12ff54!WR_eax_5
401074!add eax, 0x1!RR_eax_5!WR_eax_6
401077!mov dword ptr [ebp-0x4], eax!RR_eax_6_ebp_12ff54!WM_12ff50_4_6
40107a!cmp dword ptr [ebp-0x4], 0x20!RM_12ff50_4_6!RR_ebp_12ff54
40107e!jnb 0x4010d3
